"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"11/6/2020","1604620800","113320657.96875","51710.4826443","456.32"
"11/7/2020","1604707200","113334179.59375","49393.302150548125","435.82"
"11/8/2020","1604793600","113347747.96875","51543.754911309375","454.74"
"11/9/2020","1604880000","113361260.09375","50383.4120486671875","444.45"
"11/10/2020","1604966400","113374708.09375","51116.120891148125","450.86"
"11/11/2020","1605052800","113388262.15625","52601.9486969059375","463.91"
"11/12/2020","1605139200","113401790.09375","52480.080419585625","462.78"
"11/13/2020","1605225600","113415369.15625","54084.3870895409375","476.87"
"11/14/2020","1605312000","113428965.34375","52294.1558924290625","461.03"
"11/15/2020","1605398400","113442564.03125","50880.1243936559375","448.51"
"11/16/2020","1605484800","113456038.21875","52304.3681792259375","461.01"
"11/17/2020","1605571200","113469613.90625","54772.9173286859375","482.71"
"11/18/2020","1605657600","113483022.84375","54331.13201667375","478.76"
"11/19/2020","1605744000","113496770.96875","53550.046478475625","471.82"
"11/20/2020","1605830400","113510218.53125","57939.0208449059375","510.43"
"11/21/2020","1605916800","113523884.78125","62694.700609293125","552.26"
"11/22/2020","1606003200","113537419.28125","63582.0901716928125","560.01"
"11/23/2020","1606089600","113550891.34375","69167.2544442184375","609.13"
"11/24/2020","1606176000","113564574.09375","68704.296035236875","604.98"
"11/25/2020","1606262400","113578079.90625","64671.35869861875","569.40"
"11/26/2020","1606348800","113591632.59375","59092.639107920625","520.22"
"11/27/2020","1606435200","113604980.28125","58941.6719193209375","518.83"
"11/28/2020","1606521600","113618691.15625","61125.7196551509375","537.99"
"11/29/2020","1606608000","113632238.96875","65452.1696460","576.00"
"11/30/2020","1606694400","113645918.15625","70021.796012791875","616.14"
"12/1/2020","1606780800","113659485.71875","66630.6003129028125","586.23"
"12/2/2020","1606867200","113672875.90625","68005.934739673125","598.26"
"12/3/2020","1606953600","113686491.21875","70093.4061609203125","616.55"
"12/4/2020","1607040000","113699928.71875","64544.0385357728125","567.67"
"12/5/2020","1607126400","113713446.71875","67878.9677498234375","596.93"
"12/6/2020","1607212800","113727073.03125","68497.816086721875","602.30"
"12/7/2020","1607299200","113740492.71875","67261.57777416","591.36"
"12/8/2020","1607385600","113753971.78125","63112.978623673125","554.82"
"12/9/2020","1607472000","113767676.65625","65238.93650176","573.44"
"12/10/2020","1607558400","113780990.46875","63530.75383813125","558.36"
"12/11/2020","1607644800","113794498.46875","61920.138396785625","544.14"
"12/12/2020","1607731200","113808019.03125","64672.544894698125","568.26"
"12/13/2020","1607817600","113821440.53125","67236.60135062","590.72"
"12/14/2020","1607904000","113835026.78125","66747.1679531859375","586.35"
"12/15/2020","1607990400","113848495.46875","67076.1180753234375","589.17"
"12/16/2020","1608076800","113862090.78125","72614.409774834375","637.74"
"12/17/2020","1608163200","113875680.03125","73240.28236889875","643.16"
"12/18/2020","1608249600","113889177.84375","74546.1613576265625","654.55"
"12/19/2020","1608336000","113902679.78125","75027.695171909375","658.70"
"12/20/2020","1608422400","113916293.90625","72697.9612821515625","638.17"
"12/21/2020","1608508800","113929814.65625","69257.934329534375","607.90"
"12/22/2020","1608595200","113943291.28125","72608.0835031509375","637.23"
"12/23/2020","1608681600","113957003.96875","66693.3365727109375","585.25"
"12/24/2020","1608768000","113970378.71875","69786.342297065","612.32"
"12/25/2020","1608854400","113983784.71875","71448.4557752540625","626.83"
"12/26/2020","1608940800","113997511.59375","72510.3971994365625","636.07"
"12/27/2020","1609027200","114011015.90625","77981.254659556875","683.98"
"12/28/2020","1609113600","114024674.21875","83191.2620632578125","729.59"
"12/29/2020","1609200000","114037972.59375","83424.4788509578125","731.55"
"12/30/2020","1609286400","114051535.28125","85827.2018451990625","752.53"
"12/31/2020","1609372800","114065028.09375","84083.0354593078125","737.15"
"1/1/2021","1609459200","114078562.28125","83345.79760268125","730.60"
"1/2/2021","1609545600","114092231.03125","88410.069826115625","774.90"
"1/3/2021","1609632000","114105710.28125","111674.1175951565625","978.69"
